Id,CurrentPrice,OriginalPrice,Source,Sku,Brand,Category,Title,Model,Options,Size,Groupset
118981868,3900,3900,BikeExchange,???,BMC,road-bike,BMC Teammachine SLR01 TWO- 2022 size 58,,,58cm,
119058059,4950,4950,BikeExchange,???,YT Industries,road-bike,YT Izzo Pro Race,,,Large,
118997721,2800,2800,BikeExchange,???,Specialized,road-bike,Specialized Epic Comp Mountain Bike,,,Medium,
119043587,895,895,BikeExchange,???,Azzurri,road-bike,Azzurri Tigre Carbon Road Bike,,S/M / Black/White / 50cm,,Shimano Tiagra
118925145,1100,1100,BikeExchange,???,Cannondale,road-bike,Bora (Repainted Cannondale CAAD) – 55cm.,,- / Black / 55cm,,SRAM Apex
119058058,6499,10499,BikeExchange,???,Focus,road-bike,EX-DEMO FOCUS JAM2 8.8 LARGE (SALE $6499),,Large / Grey/Graphite,,
118994111,400,400,BikeExchange,???,Colony,road-bike,Colony Emerge BMX 2020- Brilliant Blue,,,,
118824393,3000,3000,BikeExchange,???,Specialized,road-bike,2018 Specialized Crux – 58cm,,- / Multi Colour / 58cm,,SRAM Force
119058768,2000,2400,BikeExchange,???,Rocky Mountain,road-bike,Rocky Mountain Altitude A30,,,Large,
118971025,7100,7100,BikeExchange,???,Orbea,road-bike,ORBEA OIZ -LTD MYO PAINT,,,Medium,
118997407,5200,5200,BikeExchange,???,Giant,road-bike,🔥 Giant TCR Advanced SL 1: The Ultimate Race Machine 🔥,TCR Advanced SL 1,,Large,SRAM Red AXS
118972449,4999,4999,BikeExchange,???,Felt,road-bike,Felt IA 56cm 105 Red/White and Black,,M/L / Red / 56cm,,Shimano 105
119059172,7399,7399,BikeExchange,???,Focus,road-bike,EX-DEMO FOCUS JAM2 8.8 MEDIUM (SALE $7399),,Medium / Grey/Graphite,,
118634928,10900,10900,BikeExchange,???,Colnago,road-bike,Colnago dream bike in the right colour. Dura Ace Di12 and some of the best wheels.,,,Medium,Shimano Dura Ace Di2 12 Speed
119072042,2999,2999,BikeExchange,???,Eddy Merckx,road-bike,Eddy Merckx Titanium EX 53cm 1996,,Small / Titanium / 53cm,,Campagnolo Record
119049592,1000,1000,BikeExchange,???,Bianchi,road-bike,Bianchi Limited Edition Road Bike,,Small / Dark Grey / 51cm,,Shimano Ultegra
116084802,3495,3495,BikeExchange,???,Look,road-bike,Look KG243 57cm 1997,,Large / Red / 57cm,,Campagnolo Record
119022497,1600,1600,BikeExchange,???,XDS,road-bike,XDS Apex Gravel,,Medium / Black/Grey,,
118849618,2500,2500,BikeExchange,???,Pinarello,road-bike,Pinarello FP Quattro Di2 – 53cm,,- / White / 53cm,,Shimano Ultegra Di2
119022526,2850,2850,BikeExchange,???,Kalkhoff,road-bike,Kalkhoff Entice 3.B Move +,,Medium / Orange,,
119059173,7399,7399,BikeExchange,???,Focus,road-bike,EX-DEMO FOCUS SAM2 6.8 LARGE (SALE $7399),,Large / Green,,
119076184,5250,5250,BikeExchange,???,Scott,road-bike,Scott Genius 40 - Carbon,,,"29"" Wheel",
118938718,500,500,BikeExchange,???,Felt,road-bike,Felt B16 Triathlon & Time Trial Bike - 54cm,,,Medium,Shimano 105
118750058,2000,2000,BikeExchange,???,Avanti,road-bike,Avanti Quantum Team - Medium,,Medium / Multi Colour / -,,Shimano Dura Ace
118828549,499,499,BikeExchange,???,Trek,road-bike,Trek T1 Fixie,,S/M / Red / 52cm,,
119046855,7399,7399,BikeExchange,???,Look,road-bike,Look 785 Huez RS Custom Build,,Medium / Black / Custom,,Shimano Dura Ace
119046734,9990,9990,BikeExchange,???,Cannondale,road-bike,Cannondale Supersix Evo HighMod – 60cm,,XXL / Black / 60cm,,Shimano Ultegra Di2 12 Speed
119049600,1200,1200,BikeExchange,???,Cervelo,road-bike,Cervelo P3 TT Bike and Race Wheels,,,58cm,SRAM Red
119051580,1200,1200,BikeExchange,???,Merida,road-bike,"Dual suspension Merida Ninety-Six 9.6 Mountain Bike (2017), Size Medium",,,Medium,
118654937,1900,1900,BikeExchange,???,Wilier,road-bike,"Wilier Zero 7, 790 gram frame, size M or 54 cm, Dura Ace Di2 11 speed, 2016",,,Medium,Shimano Dura Ace Di2
119066051,15999,15999,BikeExchange,???,Specialized,road-bike,S-Works Turbo Levo SL Carbon S4 2023,,Small / Silver,,
119057567,1950,1950,BikeExchange,???,Marin,road-bike,"2023 Marin Rift Zone 27.5"" 2 - Size M",,,Medium,
